file_name,agency,release_date,incident_date,incident_location,file_type,page_count,ocr_success_rate,review_required_count,japan_related,japan_keywords,japan_signal_source,location_conflict,location_conflict_reason,candidate_score,recommended_lane,reasons,notes
dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,Department of War,5/8/26,7/16/20,Arabian Gulf,PDF,8,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 8p: short document(+5) | recent incident (2020)(+15),
dow-uap-d7-mission-report-arabian-gulf-2020.pdf,Department of War,5/8/26,N/A,N/A,PDF,6,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 6p: short document(+5) | recent incident (2020)(+15),
dow-uap-d74-mission-report-syria-november-2023.pdf,Department of War,5/8/26,11/9/23,Syria,PDF,10,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 10p: short document(+5) | recent incident (2023)(+15),
dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,Department of War,5/8/26,7/14/24,Gulf of Aden,PDF,8,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 8p: short document(+5) | recent incident (2024)(+15),
dow-uap-d8-mission-report-djibouti-2025.pdf,Department of War,5/8/26,N/A,Mediterranean Sea,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2025)(+15),
dow-uap-pr20.pdf,Department of War,5/8/26,N/A,Iraq,PDF,1,,0,false,,,false,,35,detailed,"agency=Department of War(+5) | official press release(+20) | 1p: very short, quick to process(+10)",
fbi-photo-b1.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b10.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b11.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b12.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b13.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b14.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b15.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b16.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b17.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b18.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b19.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b2.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b20.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
