file_name,agency,release_date,incident_date,incident_location,file_type,source_url,download_url,dvids_video_id,downloaded,downloaded_at,first_downloaded_at,last_verified_at,notes,content_category,media_available,ocr_status,article_priority,reader_interest,risk_level,note_series,download_scope,human_review_required
65_hs1-834228961_62-hq-83894_section_4.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_5.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_5.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_6.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_7.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_8.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_9.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_9.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_10.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_10.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_130.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_153.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_164.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_164.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_220.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_220.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
